,signs,means,stds
0,come,0.9685555900421515,0.02720396321934173
1,good,0.9572773727974253,0.02626038235718008
2,goodbye,0.9398838784922926,0.056060324878586955
3,goodmorning,0.9208280564783923,0.04083055844226789
4,happy,0.9555127149329044,0.03456913154997857
5,hi,0.9025395852764275,0.06002770603626546
6,home,0.9791218125737843,0.014852204755544832
7,iloveyou,0.968936815311954,0.025829764845261793
8,me,0.857305417202476,0.06057252336785714
9,sorry,0.9862349682837488,0.01893016084980467
10,thankyou,0.8709301289520321,0.04893728912134291
11,you,0.8981504017582117,0.05102331063347698
