come,good,goodbye,goodmorning,happy,hi,home,iloveyou,me,sorry,thankyou,you
0.9375,1.0,0.9047619047619048,0.9583333333333334,1.0,0.9,1.0,0.9545454545454546,0.8444444444444444,1.0,0.8000000000000002,0.9056603773584904
1.0,0.9743589743589743,0.9189189189189189,0.9387755102040817,0.9565217391304348,0.9130434782608696,0.9767441860465117,1.0,0.8108108108108109,1.0,0.8484848484848485,0.9411764705882353
0.9333333333333333,0.9655172413793104,0.9565217391304348,0.9454545454545454,0.972972972972973,0.85,0.975609756097561,1.0,0.8979591836734694,0.9473684210526315,0.8571428571428571,0.8387096774193549
0.9268292682926829,0.972972972972973,0.8979591836734694,0.8333333333333334,0.9767441860465117,0.8260869565217391,1.0,0.9811320754716981,0.8333333333333333,0.975609756097561,0.8372093023255814,0.962962962962963
0.9032258064516129,0.9473684210526315,0.9787234042553191,0.96,0.9714285714285714,0.975609756097561,1.0,0.9795918367346939,0.9333333333333332,1.0,0.888888888888889,0.975609756097561
0.9615384615384616,0.9545454545454546,0.8837209302325582,0.9142857142857143,0.9411764705882353,0.8571428571428571,0.9333333333333333,0.888888888888889,0.8500000000000001,0.9777777777777777,0.8275862068965517,0.7906976744186046
1.0,0.967741935483871,1.0,0.909090909090909,0.9803921568627451,0.9142857142857143,0.9047619047619048,0.9166666666666666,0.6923076923076923,0.9199999999999999,0.7857142857142857,0.8837209302325582
0.9032258064516129,0.9285714285714286,0.9032258064516129,0.9444444444444444,0.9777777777777777,0.8717948717948718,0.9500000000000001,0.9387755102040817,0.8205128205128205,0.9302325581395349,0.8799999999999999,0.8484848484848485
0.9795918367346939,0.9302325581395349,0.9600000000000001,0.9523809523809523,0.9166666666666666,0.975609756097561,1.0,1.0,0.787878787878788,0.983050847457627,0.8148148148148148,0.9444444444444444
0.9545454545454545,0.9142857142857143,0.9032258064516129,0.9268292682926829,0.9565217391304348,0.8888888888888888,1.0,0.9818181818181818,0.8750000000000001,1.0,0.88,0.8888888888888888
