Accuracy,Recall,Precision,F1
0.9349593495934959,0.9349593495934959,0.937255833597297,0.9347925599651323
0.943089430894309,0.943089430894309,0.9478439886671594,0.9423502991056181
0.9308943089430894,0.9308943089430894,0.9348986716352495,0.9308512146311414
0.9146341463414634,0.9146341463414634,0.9260544469081055,0.9150569580952691
0.959349593495935,0.959349593495935,0.9617551531575923,0.9593451621662561
0.9024390243902439,0.9024390243902439,0.9059920123779949,0.9016483490143373
0.9186991869918699,0.9186991869918699,0.928716241978437,0.9203653545426722
0.9105691056910569,0.9105691056910569,0.9175528841241108,0.9107120783642136
0.9471544715447154,0.9471544715447154,0.9504489209744693,0.9473176855256459
0.9349593495934959,0.9349593495934959,0.9400515626304722,0.934712316846653
